1960,Travellers' Tales,-,"Long-running series made by Attenborough's BBC Travel and Exploration Unit, which also featured Armand and Michaela Denis's on Safari programmes. Episodes associated with Attenborough: ""Savage New Guinea""; ""Festival in Kano""; ""Hill Tribes of the Deccan""; ""White Elephant""; ""Men of the Dream Time""; ""Caribbean Expedition""; ""Hunters of Spitzbergen""; ""The Opium People""; ""The Leg Rowers of Burma""; ""Chop! Music and Zulu Dancing""; ""Adriatic Journey""; ""Antarctic Adventure""; ""Dancing Dervishes""; ""In Search of Stanley""; ""Overland to Singapore""; ""The Hidden Valley of Apa Tanis""; ""Pygmies of the Congo""; ""The Choco Indians of Colombia""; ""Head Hunters and Giraffe Women""; ""The Fur-trappers of Greenland""; ""Lapland Summer""; ""The Bird Cliffs of Lofoten""; ""The Strange Creatures of Galapagos""; ""Unknown India""; ""Chinese Journey""; ""The Ascent of Annapurna IV""; ""'Sherpa'; Land of the Lost""; ""The Land of the Gurkhas"".",Producer and narrator
1967,The World About Us,-,"Commissioned during his tenure as Controller of BBC Two, Attenborough narrated around 20 episodes of this long-running series between 1969 and 1982. Episode list: ""Koko the Gorilla""; ""Unatural History""; ""Asmat – Cannibal craftsmen of New Guinea""; ""The Predators""; ""Courtship""; ""Lions of Serengeti""; ""Extinction""; ""Goblins of the Forest""; ""The Field – the Great Bustard""; ""Elephant Kingdom""; ""The Hyena Story""; ""Baboons of Gombe""; ""Baobab""; ""Geese are only Human""; ""Dangerous Venomous Animals""; ""El Condor""; ""Yanomami – Sons of the Blood""; ""A Sheltered Existence""; ""The Discoverers: The 400th Edition of the World around Us""; ""Wild Dogs of Africa""; ""Woodpecker""; ""Voices in the Forest""; ""A Noble Savage""; ""Ascension Island""; ""The Underground Movement""; ""Lemurs - Ghosts at the End of the World""; ""Greenpeace Voyages to Save the Whale"".",Narrator
1969,The Miracle of Bali,3x50 min,The Indonesian island of Bali.,Narrator and producer
1973 - 1975,The Explorers,10x50 min,"Recreating the voyages of famous explorers, at the time the most expensive series ever commissioned by the BBC. Episode list: ""The Story of Roald Amundsen"", ""The Story of Charles Montagu Doughty"", ""The Story of Henry Morton Stanley"", ""The Story of Burke and Wills"", ""The Story of Mary Kingsley"", ""The Story of Jedediah Strong Smith"", ""The Story of Alexander von Humboldt"", ""The Story of Captain James Cook"", ""The Story of Francisco Pizarro"", ""The Story of Christopher Columbus"".",Introducer and narrator
1976,The Discoverers,6x30 min,"Pioneering explorers, discoverers and scientists in the field of natural history. Episode list: ""The Bone Hunters”, “The Bug Collectors”, “The Wanderer and the Woodsman”, “The Unknown Ocean”, “The Rare and the Curious”.",Narrator
1977,Wildlife on One,253x30 min,Half-hour natural history programmes for BBC One. Ran annually until 2005.,Narrator
1980,The Spirit of Asia,8x60 min,"The cultures and religions of the people of Asia. Episodes list: ""The World of Shadows"", ""The Morning of the World"", ""Land of the Cosmic Mountain"", ""The Story of Rama"", ""The Haunted Land"", ""Artists in Exile"", ""God-Kings of Angkor"", ""Land of a Million Buddhas"".",Narrator
1993,"QED ""Gallop to Freedom""",1x45 min,Release of Przewalski horses.,Narrator
1996,Winners and Losers,2x45 min,Following life forms examined in the 1960s documentary The Rare Ones.,Narrator
1996,"IMAX – ""Survival Island""",1x42 min,Various animal populations of South Georgia island.,Writer and narrator
